[59.5981912  30.18646756] 

6 min 3 sec   SP1: 52.0  SP2: 24.0    T1: 44.1551   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 4 sec   SP1: 52.0  SP2: 24.0    T1: 44.477399999999996   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 5 sec   SP1: 52.0  SP2: 24.0    T1: 44.477399999999996   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 6 sec   SP1: 52.0  SP2: 24.0    T1: 44.477399999999996   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 7 sec   SP1: 52.0  SP2: 24.0    T1: 44.799699999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 8 sec   SP1: 52.0  SP2: 24.0    T1: 44.799699999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 9 sec   SP1: 52.0  SP2: 24.0    T1: 44.799699999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 10 sec   SP1: 52.0  SP2: 24.0    T1: 44.799699999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 11 sec   SP1: 52.0  SP2: 24.0    T1: 44.799699999999994   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 12 sec   SP1: 52.0  SP2: 24.0    T1: 45.122   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 13 sec   SP1: 52.0  SP2: 24.0    T1: 45.122   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 14 sec   SP1: 52.0  SP2: 24.0    T1: 45.122   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 15 sec   SP1: 52.0  SP2: 24.0    T1: 45.122   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 16 sec   SP1: 52.0  SP2: 24.0    T1: 45.4443   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 17 sec   SP1: 52.0  SP2: 24.0    T1: 45.4443   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 18 sec   SP1: 52.0  SP2: 24.0    T1: 45.4443   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 19 sec   SP1: 52.0  SP2: 24.0    T1: 45.4443   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 20 sec   SP1: 52.0  SP2: 24.0    T1: 45.7666   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
6 min 21 sec   SP1: 52.0  SP2: 24.0    T1: 45.7666   T2: 29.973899999999997     H1: 59.983347871086316   H2: 0.01445629267883811
