time,Q1,T1,Tsp1,Q2,T2,Tsp2
7154.1196966171265,,24.12,43.0,,23.8,50.0
7159.241056442261,,24.12,43.0,,23.8,50.0
7164.175269365311,,24.12,43.0,,23.8,50.0
7169.107921600342,,24.12,43.0,,23.8,50.0
7174.078123092651,,24.12,43.0,,23.8,50.0
7179.003802061081,,24.12,43.0,,23.8,50.0
7183.956577777863,,24.12,43.0,,23.8,50.0
7188.868955850601,,24.12,43.0,,23.8,50.0
7193.827508926392,,24.12,43.0,,23.8,50.0
7198.765620231628,,24.12,43.0,,23.8,50.0
7203.692202091217,,24.12,43.0,,23.8,50.0
7208.617871522903,,24.12,43.0,,23.8,50.0
7213.580887794495,,24.12,43.0,,23.8,50.0
7218.495361089706,,24.12,43.0,,23.8,50.0
7223.437856435776,,24.12,43.0,,23.8,50.0
7228.425809621811,,24.12,43.0,,23.8,50.0
7233.407906532288,,24.12,43.0,,23.77,50.0
7238.456608057022,,24.12,43.0,,23.8,50.0
7243.37110710144,,24.12,43.0,,23.8,50.0
7248.342005252838,,24.12,43.0,,23.8,50.0
7253.269061565399,,24.12,43.0,,23.8,50.0
7258.200092077255,,24.12,43.0,,23.8,50.0
7263.137931346893,,24.12,43.0,,23.8,50.0
7268.115200519562,,24.12,43.0,,23.8,50.0
7273.037163257599,,24.12,43.0,,23.77,50.0
7277.958876371384,,24.12,43.0,,23.8,50.0
7282.904778718948,,24.12,43.0,,23.8,50.0
7287.861501693726,,24.12,43.0,,23.77,50.0
7292.798841953278,,24.12,43.0,,23.8,50.0
7297.7149431705475,,24.12,43.0,,23.8,50.0
7302.7071397304535,,24.12,43.0,,23.7,50.0
7307.619578361511,,24.12,43.0,,23.8,50.0
7312.53054690361,,24.12,43.0,,23.73,50.0
7317.616674423218,,24.12,43.0,,23.77,50.0
7322.564734458923,,24.12,43.0,,23.73,50.0
7327.462884426117,,24.12,43.0,,23.77,50.0
7332.378418684006,,24.12,43.0,,23.8,50.0
7337.33345580101,,24.12,43.0,,23.73,50.0
7342.2294063568115,,24.12,43.0,,23.77,50.0
7347.190743923187,,24.12,43.0,,23.61,50.0
7352.194251060486,,24.12,43.0,,23.67,50.0
7357.165521144867,,24.12,43.0,,23.67,50.0
7362.108757019043,,24.12,43.0,,23.73,50.0
7367.190796852112,,24.12,43.0,,23.77,50.0
7372.112534761429,,24.12,43.0,,23.7,50.0
7377.060372829437,,24.12,43.0,,23.61,50.0
7382.12167429924,,24.12,43.0,,23.67,50.0
7387.061856985092,,24.12,43.0,,23.7,50.0
7392.024678230286,,24.12,43.0,,23.67,50.0
7396.949869155884,,24.12,43.0,,23.61,50.0
7401.879139184952,,24.12,43.0,,23.61,50.0
7406.786886692047,,24.12,43.0,,23.51,50.0
7411.8811864852905,,24.12,43.0,,23.54,50.0
7416.803122997284,,24.12,43.0,,23.57,50.0
7421.737276792526,,24.12,43.0,,23.57,50.0
7426.667363882065,,24.12,43.0,,23.57,50.0
7431.627548456192,,24.12,43.0,,23.57,50.0
7436.55069231987,,24.12,43.0,,23.54,50.0
7441.701593875885,,24.12,43.0,,23.57,50.0
7446.692983865738,,24.12,43.0,,23.61,50.0
7451.633509397507,,24.12,43.0,,23.54,50.0
7456.563056468964,,24.12,43.0,,23.51,50.0
7461.501127719879,,24.12,43.0,,23.51,50.0
7466.469249010086,,24.12,43.0,,23.54,50.0
7471.402492761612,,24.12,43.0,,23.51,50.0
7476.300655126572,,24.12,43.0,,23.48,50.0
7481.2771327495575,,24.12,43.0,,23.51,50.0
7486.2394416332245,,24.12,43.0,,23.54,50.0
7491.145612716675,,24.12,43.0,,23.48,50.0
7496.10812830925,,24.12,43.0,,23.48,50.0
7501.219722986221,,24.12,43.0,,23.48,50.0
7506.150834321976,,24.12,43.0,,23.51,50.0
7511.084826231003,,24.12,43.0,,23.48,50.0
7515.984503746033,,24.12,43.0,,23.48,50.0
7520.955770015717,,24.12,43.0,,23.51,50.0
7525.87620139122,,24.12,43.0,,23.51,50.0
7530.812258720398,,24.12,43.0,,23.48,50.0
7535.734236240387,,24.12,43.0,,23.48,50.0
7540.6870267391205,,24.12,43.0,,23.48,50.0
7545.618837356567,,24.12,43.0,,23.48,50.0
7550.559406280518,,24.12,43.0,,23.48,50.0
7555.501023054123,,24.12,43.0,,23.48,50.0
7560.429092168808,,24.12,43.0,,23.48,50.0
7565.363032102585,,24.12,43.0,,23.48,50.0
7570.501891374588,,24.12,43.0,,23.48,50.0
7575.467729330063,,24.12,43.0,,23.48,50.0
7580.391015768051,,24.12,43.0,,23.51,50.0
7585.359726905823,,24.12,43.0,,23.48,50.0
7590.27378988266,,24.12,43.0,,23.48,50.0
7595.267735958099,,24.12,43.0,,23.48,50.0
7600.227255582809,,24.12,43.0,,23.48,50.0
7605.172394752502,,24.12,43.0,,23.48,50.0
7610.134103775024,,24.12,43.0,,23.48,50.0
7615.169244527817,,24.12,43.0,,23.51,50.0
7620.097704410553,,24.12,43.0,,23.48,50.0
7625.011142730713,,24.12,43.0,,23.48,50.0
7630.179012298584,,24.12,43.0,,23.48,50.0
7635.157795906067,,24.12,43.0,,23.48,50.0
7640.102825641632,,24.12,43.0,,23.51,50.0
7645.044539451599,,24.12,43.0,,23.48,50.0
7650.008788347244,,24.12,43.0,,23.48,50.0
7654.944095849991,,24.12,43.0,,23.48,50.0
7659.865742444992,,24.12,43.0,,23.48,50.0
7664.86980175972,,24.12,43.0,,23.48,50.0
7669.825510501862,,24.12,43.0,,23.48,50.0
7674.758137464523,,24.12,43.0,,23.48,50.0
7679.711119174957,,24.12,43.0,,23.48,50.0
7684.727190732956,,24.12,43.0,,23.48,50.0
7689.893156290054,,24.09,43.0,,23.48,50.0
7694.829655885696,,24.12,43.0,,23.48,50.0
7699.7950139045715,,24.12,43.0,,23.48,50.0
7704.784838676453,,24.09,43.0,,23.48,50.0
7709.735779762268,,24.12,43.0,,23.48,50.0
7714.7245054244995,,24.09,43.0,,23.48,50.0
7719.844885587692,,24.12,43.0,,23.48,50.0
7724.861289262772,,24.12,43.0,,23.48,50.0
7729.777967453003,,24.12,43.0,,23.48,50.0
7734.731602430344,,24.09,43.0,,23.48,50.0
7739.70595908165,,24.12,43.0,,23.48,50.0
7744.627423048019,,24.12,43.0,,23.48,50.0
7749.581139802933,,24.12,43.0,,23.48,50.0
7754.5303518772125,,24.09,43.0,,23.48,50.0
7759.543926000595,,24.12,43.0,,23.48,50.0
7764.492854595184,,24.09,43.0,,23.48,50.0
7769.439673900604,,24.09,43.0,,23.48,50.0
7774.435076713562,,24.12,43.0,,23.48,50.0
7779.365858793259,,24.12,43.0,,23.48,50.0
7784.485292196274,,24.09,43.0,,23.48,50.0
7789.407726764679,,24.12,43.0,,23.48,50.0
7794.662810325623,,24.09,43.0,,23.48,50.0
7799.63179731369,,24.09,43.0,,23.48,50.0
7804.564724445343,,24.06,43.0,,23.48,50.0
7809.490731954575,,24.09,43.0,,23.48,50.0
7814.485382556915,,24.09,43.0,,23.48,50.0
