Q1,T1,Tsp
27.22199825897211,40.52,41.0
27.442800486564586,40.49,41.0
27.666008355522113,40.46,41.0
27.709290969276385,40.46,41.0
27.7524929159164,40.46,41.0
28.950902815627995,40.27,41.0
27.67176722126002,40.49,41.0
27.28711167850489,40.56,41.0
27.56551979007715,40.52,41.0
27.360732093238777,40.56,41.0
27.395958394813483,40.56,41.0
27.431171772193853,40.56,41.0
27.466392375373783,40.56,41.0
27.50166971073145,40.56,41.0
27.536918948554934,40.56,41.0
27.572121290016117,40.56,41.0
27.60741528415674,40.56,41.0
27.64288569355005,40.56,41.0
27.678278473854004,40.56,41.0
27.713644365119873,40.56,41.0
27.749090747260986,40.56,41.0
27.784417966651855,40.56,41.0
27.637324336051872,40.59,41.0
27.852582217979368,40.56,41.0
27.887789040946895,40.56,41.0
27.740640364456105,40.59,41.0
27.773639754295278,40.59,41.0
27.806455183410574,40.59,41.0
28.02172090377801,40.56,41.0
27.87467567195885,40.59,41.0
27.90773827972405,40.59,41.0
27.940699006843495,40.59,41.0
27.000817868041942,40.75,41.0
27.38563551177975,40.69,41.0
26.68093199253076,40.81,41.0
26.69613350009912,40.81,41.0
26.285799136543208,40.88,41.0
26.295403535652095,40.88,41.0
26.730610399436888,40.81,41.0
26.745841862678464,40.81,41.0
26.943548608970584,40.78,41.0
26.35316781215661,40.88,41.0
26.362780515098503,40.88,41.0
26.372381249809198,40.88,41.0
26.8075895486831,40.81,41.0
27.187628539657542,40.75,41.0
26.4172975521087,40.88,41.0
26.426907535934383,40.88,41.0
26.43652315025323,40.88,41.0
26.446124038314753,40.88,41.0
26.45577420921319,40.88,41.0
26.465393021011284,40.88,41.0
26.475002853774956,40.88,41.0
26.4846730220794,40.88,41.0
26.311910938644377,40.91,41.0
26.50151313362115,40.88,41.0
26.328732955360383,40.91,41.0
26.335952215766877,40.91,41.0
26.525564138221675,40.88,41.0
26.170410760307277,40.94,41.0
26.540081509971554,40.88,41.0
26.184899712943995,40.94,41.0
26.18971427097317,40.94,41.0
25.76890795364376,41.01,41.0
24.612896524810726,41.2,41.0
24.596832785034113,41.2,41.0
24.945556711196847,41.14,41.0
25.35995616779322,41.07,41.0
24.746354293632447,41.17,41.0
24.550285827445915,41.2,41.0
24.534163032340935,41.2,41.0
24.51810594921105,41.2,41.0
24.502008731651237,41.2,41.0
24.4859942739486,41.2,41.0
24.469975665855337,41.2,41.0
24.453962577629017,41.2,41.0
24.437845924186636,41.2,41.0
24.421747966575552,41.2,41.0
24.405741489219594,41.2,41.0
24.389577895927356,41.2,41.0
24.373562259483265,41.2,41.0
24.357552619743274,41.2,41.0
24.341446857261584,41.2,41.0
24.325439128684923,41.2,41.0
24.309422790336534,41.2,41.0
24.293350761222765,41.2,41.0
24.27732191448204,41.2,41.0
24.26131047420494,41.2,41.0
24.245238364982526,41.2,41.0
24.22920786266319,41.2,41.0
24.21319995479576,41.2,41.0
24.19717231731407,41.2,41.0
24.18116196804039,41.2,41.0
24.165161647605817,41.2,41.0
24.331558281898428,41.17,41.0
24.135472577094955,41.2,41.0
24.119456982612533,41.2,41.0
24.10345384693138,41.2,41.0
24.087424500465314,41.2,41.0
24.07142259311668,41.2,41.0
24.05541360568992,41.2,41.0
24.404210700416495,41.14,41.0
24.028207923316874,41.2,41.0
24.012177443885722,41.2,41.0
23.99616482486717,41.2,41.0
23.98005294742576,41.2,41.0
23.963999579811016,41.2,41.0
23.947986731910625,41.2,41.0
23.931861712837136,41.2,41.0
24.0982613334655,41.17,41.0
23.90214673614494,41.2,41.0
24.068450764846727,41.17,41.0
23.872428227615273,41.2,41.0
23.856323956680214,41.2,41.0
23.840208317947305,41.2,41.0
23.824179539871132,41.2,41.0
23.808151536178503,41.2,41.0
23.79205112190238,41.2,41.0
23.77603234214774,41.2,41.0
23.76001945228568,41.2,41.0
23.74399007148734,41.2,41.0
23.727976350021276,41.2,41.0
23.711881600570592,41.2,41.0
23.69587129325858,41.2,41.0
23.862180746650616,41.17,41.0
23.666158949470432,41.2,41.0
23.65004939517966,41.2,41.0
24.789248673438966,41.01,41.0
25.214055768775882,40.94,41.0
25.218862897300664,40.94,41.0
24.980464326667736,40.98,41.0
25.59011672916404,40.88,41.0
25.417325197219803,40.91,41.0
25.60692734413139,40.88,41.0
25.434138732147172,40.91,41.0
25.44138678016658,40.91,41.0
25.631005605697553,40.88,41.0
25.640607807540814,40.88,41.0
25.650212101364055,40.88,41.0
25.659847239303506,40.88,41.0
25.669448965072547,40.88,41.0
25.6790626224517,40.88,41.0
25.688681857681193,40.88,41.0
25.69829023475639,40.88,41.0
25.707891271591105,40.88,41.0
25.717508879470742,40.88,41.0
25.727124310684122,40.88,41.0
25.736727389144814,40.88,41.0
25.746403611373818,40.88,41.0
25.756014114761268,40.88,41.0
25.765663756942665,40.88,41.0
100.0,40.88,57.0
100.0,40.88,57.0
100.0,40.91,57.0
100.0,40.88,57.0
100.0,40.88,57.0
100.0,41.07,57.0
100.0,41.2,57.0
100.0,41.14,57.0
100.0,41.2,57.0
100.0,41.2,57.0
100.0,41.17,57.0
100.0,41.23,57.0
100.0,41.39,57.0
100.0,41.52,57.0
100.0,41.52,57.0
100.0,41.52,57.0
100.0,41.72,57.0
100.0,41.85,57.0
100.0,41.85,57.0
100.0,42.17,57.0
100.0,42.36,57.0
100.0,42.49,57.0
100.0,42.55,57.0
100.0,42.81,57.0
100.0,42.88,57.0
